# First name list (tagged 'f': female, 'm': male)
# lemma | tags

Abigail,f
Adam,m
Adrian,m
Alan,m
Alex,f|m
Alexander,m
Alexandra,f
Alison,f
Amanda,f
Amelia,f
Amy,f
Andrea,f
Andrew,m
Andy,f|m
Angela,f
Anna,f
Anne,f
Anthony,m
Audrey,f
Austin,m
Ava,f
Bella,f
Benjamin,m
Bernadette,f
Blake,m
Bobbie,f|m
Boris,m
Brandon,m
Brian,m
Cameron,f|m
Carl,m
Carol,f
Caroline,f
Carolyn,f
Casey,f|m
Charles,m
Charlie,f|m
Chloe,f
Chris,f|m
Christian,m
Christopher,m
Claire,f
Colin,m
Connor,m
Corey,f|m
Dan,m
Daryl,f|m
David,m
Deirdre,f
Diana,f
Diane,f
Dominic,m
Donna,f
Dorothy,f
Dylan,f|m
Eddie,f|m
Edward,m
Elizabeth,f
Ella,f
Emily,f
Emma,f
Eric,m
Evan,m
Faith,f
Felicity,f
Fiona,f
Frances,f|m
Frank,m
Gabrielle,f
Gavin,m
Gordon,m
Grace,f
Hannah,f
Harry,m
Heather,f
Ian,m
Irene,f
Isaac,m
Jack,m
Jacob,m
Jake,m
James,m
Jamie,f|m
Jan,f
Jane,f
Jasmine,f
Jason,m
Jayden,f|m
Jean,f|m
Jennifer,f
Jesse,f|m
Jessica,f
Joan,f
Joanne,f
Joe,m
John,m
Jonathan,m
Joseph,m
Joshua,m
Julia,f
Julian,m
Justin,m
Karen,f
Katherine,f
Keith,m
Kelly,f|m
Kevin,m
Kimberly,f
Kyle,f|m
Kylie,f
Lauren,f
Leah,f
Leonard,m
Liam,m
Lillian,f
Lily,f
Lisa,f
Lou,f|m
Lucas,m
Luke,m
Madeleine,f
Maria,f
Mary,f
Matt,m
Max,f|m
Megan,f
Melanie,f
Michael,m
Michelle,f
Molly,f
Natalie,f
Nathan,m
Neil,m
Nicholas,m
Nicola,f
Oliver,m
Olivia,f
Owen,m
Pat,f|m
Paul,m
Penelope,f
Peter,m
Phil,m
Phoenix,f|m
Piers,m
Pippa,f
Rachel,f
Rebecca,f
Richard,m
Robert,m
Rose,f
Ruth,f
Ryan,m
Sally,f
Sam,f|m
Samantha,f
Sarah,f
Sean,m
Sebastian,m
Simon,m
Sonia,f
Sophie,f
Stephanie,f
Stephen,m
Steven,m
Stewart,m
Sue,f
Sydney,f|m
Taylor,f|m
Theresa,f
Thomas,m
Tim,m
Toby,f|m
Tracey,f
Trevor,m
Una,f
Vanessa,f
Victor,m
Victoria,f
Virginia,f
Wanda,f
Warren,m
Wendy,f
William,m
Yvonne,f
Zoe,f
